,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Tgt,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
61,Thurman Thomas,BUF,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,312.0,1487.0,87.0,58.0,626.0,10.79,6.0,0.0,0.0,0.0,0.0,1487.0,9.0,312.0,626.0,3.0,329.2999999999999
62,Ezekiel Elliott,DAL,RB,23.0,15.0,15.0,0.0,0.0,0.0,0.0,304.0,1434.0,95.0,77.0,567.0,7.36,6.0,1.0,0.0,0.0,0.0,1434.0,6.0,304.0,567.0,3.0,329.1
63,Dalton Hilliard,NOR,RB,25.0,16.0,16.0,1.0,1.0,35.0,0.0,344.0,1262.0,,52.0,514.0,9.88,7.0,0.0,35.0,1.0,1.0,1262.0,13.0,344.0,514.0,5.0,329.0
64,Shaun Alexander,SEA,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,295.0,1175.0,78.0,59.0,460.0,7.8,3.0,1.0,0.0,0.0,0.0,1175.0,16.0,295.0,460.0,2.0,328.5
65,LeSean McCoy,PHI,RB,23.0,15.0,15.0,0.0,0.0,0.0,0.0,273.0,1309.0,69.0,48.0,315.0,6.56,1.0,1.0,0.0,0.0,0.0,1309.0,17.0,273.0,315.0,3.0,328.4
66,Thurman Thomas,BUF,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,288.0,1407.0,,62.0,631.0,10.18,5.0,0.0,0.0,0.0,0.0,1407.0,7.0,288.0,631.0,5.0,327.7999999999999
67,Deuce McAllister,NOR,RB,25.0,16.0,16.0,0.0,2.0,0.0,0.0,351.0,1641.0,87.0,69.0,516.0,7.48,6.0,3.0,0.0,0.0,2.0,1641.0,8.0,351.0,516.0,0.0,326.7
68,Ray Rice,BAL,RB,22.0,16.0,15.0,0.0,1.0,0.0,0.0,254.0,1339.0,101.0,78.0,702.0,9.0,3.0,2.0,0.0,0.0,1.0,1339.0,7.0,254.0,702.0,1.0,326.1
69,Ezekiel Elliott,DAL,RB,21.0,15.0,15.0,0.0,0.0,0.0,0.0,322.0,1631.0,39.0,32.0,363.0,11.34,5.0,1.0,0.0,0.0,0.0,1631.0,15.0,322.0,363.0,1.0,325.4
70,Jamal Lewis,BAL,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,387.0,2066.0,38.0,26.0,205.0,7.88,8.0,6.0,0.0,0.0,0.0,2066.0,14.0,387.0,205.0,0.0,325.1
71,Roger Craig,SFO,RB,28.0,16.0,15.0,0.0,0.0,0.0,0.0,310.0,1502.0,,76.0,534.0,7.03,8.0,0.0,0.0,0.0,0.0,1502.0,9.0,310.0,534.0,1.0,323.6
72,Domanick Williams,HOU,RB,24.0,15.0,15.0,0.0,0.0,0.0,0.0,302.0,1188.0,84.0,68.0,588.0,8.65,4.0,3.0,0.0,0.0,0.0,1188.0,13.0,302.0,588.0,1.0,323.6
73,Shaun Alexander,SEA,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,353.0,1696.0,38.0,23.0,170.0,7.39,5.0,3.0,0.0,0.0,0.0,1696.0,16.0,353.0,170.0,4.0,323.6
74,Maurice Jones-Drew,JAX,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,312.0,1391.0,71.0,53.0,374.0,7.06,2.0,1.0,0.0,0.0,0.0,1391.0,15.0,312.0,374.0,1.0,323.5
75,Frank Gore,SFO,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,312.0,1695.0,86.0,61.0,485.0,7.95,6.0,5.0,0.0,0.0,0.0,1695.0,8.0,312.0,485.0,1.0,323.0
76,Tiki Barber,NYG,RB,27.0,16.0,15.0,0.0,0.0,0.0,0.0,304.0,1387.0,95.0,69.0,597.0,8.65,9.0,6.0,0.0,0.0,0.0,1387.0,11.0,304.0,597.0,0.0,321.4
77,Adrian Peterson,MIN,RB,24.0,16.0,15.0,0.0,0.0,0.0,0.0,314.0,1383.0,57.0,43.0,436.0,10.14,7.0,6.0,0.0,0.0,0.0,1383.0,18.0,314.0,436.0,0.0,320.9
78,Eric Dickerson,IND,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,388.0,1659.0,,36.0,377.0,10.47,5.0,0.0,0.0,0.0,0.0,1659.0,14.0,388.0,377.0,1.0,319.6
79,Curtis Martin,NYJ,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,371.0,1697.0,49.0,41.0,245.0,5.98,2.0,0.0,0.0,0.0,0.0,1697.0,12.0,371.0,245.0,2.0,319.2
80,Barry Sanders,DET,RB,23.0,15.0,15.0,0.0,0.0,0.0,0.0,342.0,1548.0,,41.0,307.0,7.49,5.0,0.0,0.0,0.0,0.0,1548.0,16.0,342.0,307.0,1.0,318.5
81,Ahman Green,GNB,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,304.0,1387.0,82.0,62.0,594.0,9.58,5.0,4.0,0.0,0.0,0.0,1387.0,9.0,304.0,594.0,2.0,318.1
82,Devonta Freeman,ATL,RB,23.0,15.0,13.0,0.0,0.0,0.0,0.0,265.0,1056.0,97.0,73.0,578.0,7.92,3.0,2.0,0.0,0.0,0.0,1056.0,11.0,265.0,578.0,3.0,316.4
83,Ahman Green,GNB,RB,23.0,16.0,11.0,0.0,1.0,0.0,0.0,263.0,1175.0,99.0,73.0,559.0,7.66,6.0,4.0,0.0,0.0,1.0,1175.0,10.0,263.0,559.0,3.0,316.4
84,Clinton Portis,DEN,RB,21.0,16.0,12.0,0.0,0.0,0.0,0.0,273.0,1508.0,49.0,33.0,364.0,11.03,5.0,3.0,0.0,0.0,0.0,1508.0,15.0,273.0,364.0,2.0,316.2000000000001
85,Le'Veon Bell,PIT,RB,24.0,12.0,12.0,0.0,1.0,0.0,0.0,261.0,1268.0,94.0,75.0,616.0,8.21,4.0,1.0,0.0,0.0,1.0,1268.0,7.0,261.0,616.0,2.0,315.4
86,Billy Sims,DET,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,313.0,1303.0,,51.0,621.0,12.18,12.0,0.0,0.0,0.0,0.0,1303.0,13.0,313.0,621.0,3.0,315.4
87,Aaron Jones,GNB,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,236.0,1084.0,68.0,49.0,474.0,9.67,3.0,2.0,0.0,0.0,0.0,1084.0,16.0,236.0,474.0,3.0,314.8
88,Walter Payton,CHI,RB,31.0,16.0,16.0,3.0,5.0,96.0,0.0,324.0,1551.0,,49.0,483.0,9.86,6.0,0.0,96.0,1.0,5.0,1551.0,9.0,324.0,483.0,2.0,314.24
89,Walter Payton,CHI,RB,30.0,16.0,16.0,3.0,8.0,47.0,1.0,381.0,1684.0,,45.0,368.0,8.18,5.0,0.0,47.0,2.0,8.0,1684.0,11.0,381.0,368.0,0.0,314.08
90,Lydell Mitchell,BAL,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,289.0,1193.0,,60.0,544.0,9.07,5.0,0.0,0.0,0.0,0.0,1193.0,11.0,289.0,544.0,4.0,313.7
91,Walter Payton,CHI,RB,23.0,14.0,14.0,0.0,0.0,0.0,0.0,339.0,1852.0,,27.0,269.0,9.96,11.0,0.0,0.0,0.0,0.0,1852.0,14.0,339.0,269.0,2.0,313.1
92,Alvin Kamara,NOR,RB,22.0,16.0,3.0,0.0,0.0,0.0,0.0,120.0,728.0,100.0,81.0,826.0,10.2,1.0,1.0,0.0,0.0,0.0,728.0,8.0,120.0,826.0,5.0,312.4
93,Ezekiel Elliott,DAL,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,301.0,1357.0,71.0,54.0,420.0,7.78,3.0,2.0,0.0,0.0,0.0,1357.0,12.0,301.0,420.0,2.0,311.7
94,Doug Martin,TAM,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,319.0,1454.0,70.0,49.0,472.0,9.63,1.0,1.0,0.0,0.0,0.0,1454.0,11.0,319.0,472.0,1.0,311.6
